DIST_BIN_SIZE	0.3
-36232420	200	55	REG	0.370814	0.853592	1.19555	1.20728	1.72884	1.10181	-0.263663	0.590276	2.32403	0.549661	-1.3858	0.183286	
-36232410	100	7	REG	0.340386	0.862398	1.19059	1.15486	1.76239	1.09258	-0.259572	0.56293	2.32509	0.636054	-1.34251	0.171837	
-36232401	1	16	REG	0.345967	0.901446	1.16887	1.13394	1.82155	1.03875	-0.246787	0.611977	2.31484	0.607945	-1.36633	0.218343	
-36232400	0	24	REG	0.397086	0.848036	1.20136	1.3055	1.66495	1.11543	-0.280934	0.635561	2.31899	0.468487	-1.4218	0.212958	
-36232344	404	3	REG	0.420437	0.761732	1.24141	1.36564	1.54687	1.24268	-0.303096	0.513733	2.3299	0.441707	-1.46003	0.161171	
-36232341	401	4	REG	0.31489	0.863231	1.21216	1.14887	1.72009	1.13682	-0.293046	0.558064	2.32734	0.580766	-1.36175	0.256448	
-36232340	400	23	REG	0.339201	0.843635	1.21012	1.14369	1.74604	1.13014	-0.276773	0.547402	2.33518	0.646282	-1.37323	0.126288	
-36232331	301	6	REG	0.300566	0.892833	1.18458	0.955499	1.90868	1.05246	-0.191298	0.504831	2.34118	0.615603	-1.36171	0.215384	
-36232324	204	3	REG	0.377406	0.79685	1.2269	1.27928	1.62671	1.17914	-0.310955	0.544096	2.32941	0.661606	-1.36684	0.0568039	
-36232321	201	5	REG	0.323876	0.855535	1.21008	1.05681	1.81928	1.10306	-0.252847	0.517189	2.34939	0.687935	-1.34492	0.12484	
-36232320	200	17	REG	0.316274	0.852585	1.21328	1.08121	1.78906	1.11871	-0.26827	0.521011	2.34776	0.751142	-1.30499	0.0850295	
-36232301	1	3	REG	0.353885	0.865369	1.19652	1.12944	1.80101	1.08326	-0.235252	0.544556	2.337	0.567845	-1.38147	0.191908	
-36232300	0	7	REG	0.380631	0.827716	1.22638	1.24534	1.66497	1.16107	-0.279137	0.599164	2.34096	0.665417	-1.36537	0.0687537	
-35242444	404	4	REG	0.396817	0.749168	1.26419	1.30892	1.58101	1.23927	-0.291619	0.487909	2.37585	-0.0402184	-1.48644	0.22197	
-35242441	401	6	REG	0.417225	0.763034	1.24392	1.29501	1.62023	1.18627	-0.229775	0.480296	2.36172	-0.398773	-1.41412	0.348709	
-35242440	400	19	REG	0.405332	0.717541	1.26061	1.31558	1.49315	1.23814	-0.252209	0.452159	2.36239	-0.255536	-1.42279	0.298831	
-35242430	300	9	REG	0.393058	0.735095	1.26037	1.25027	1.60615	1.23364	-0.234987	0.382786	2.37718	-0.187122	-1.4033	0.305497	
-35242421	201	3	REG	0.388722	0.776572	1.24317	1.25798	1.65107	1.18947	-0.264397	0.476008	2.36368	-0.208854	-1.46739	0.302747	
-35242420	200	10	REG	0.41179	0.671661	1.2784	1.32713	1.34985	1.28913	-0.272538	0.480905	2.34926	-0.158047	-1.43029	0.204937	
-35242410	100	22	REG	0.387725	0.750936	1.25446	1.22902	1.59959	1.21823	-0.232588	0.436374	2.36529	-0.0472174	-1.44512	0.283623	
-35242344	404	15	REG	0.423011	0.672275	1.29257	1.3833	1.38522	1.31279	-0.286925	0.446429	2.36965	0.298195	-1.43952	0.0314491	
-35242343	403	6	REG	0.35554	0.81428	1.24174	1.13969	1.73682	1.17246	-0.216619	0.472982	2.3763	0.377506	-1.44263	0.147762	
-35242342	402	11	REG	0.419397	0.707204	1.2788	1.36141	1.46405	1.27978	-0.280251	0.458367	2.365	0.253508	-1.46112	0.102968	
-35242341	401	31	REG	0.328407	0.761124	1.27147	1.10247	1.66314	1.23981	-0.248231	0.405468	2.38669	0.311447	-1.4351	0.150579	
-35242340	400	122	REG	0.37479	0.723867	1.27933	1.24237	1.54723	1.27284	-0.277951	0.426872	2.37535	0.286443	-1.44402	0.103348	
-35242332	302	5	REG	0.242643	0.791058	1.2508	0.74922	1.73589	1.20021	-0.136303	0.405429	2.37617	0.650376	-1.25675	0.117161	
-35242331	301	25	REG	0.282862	0.779478	1.25442	0.912269	1.72147	1.20529	-0.184434	0.399355	2.38202	0.356511	-1.36094	0.157318	
-35242330	300	43	REG	0.388923	0.713059	1.27546	1.26188	1.50552	1.26836	-0.266278	0.442272	2.36744	0.17924	-1.44206	0.131751	
-35242322	202	4	REG	0.380105	0.721439	1.2745	1.23583	1.56473	1.25141	-0.249217	0.408455	2.37187	0.534892	-1.41986	0.0027748	
-35242321	201	9	REG	0.330765	0.810766	1.2374	1.13033	1.71969	1.1724	-0.290186	0.496664	2.36194	0.587296	-1.36434	0.077871	
-35242320	200	31	REG	0.392184	0.714807	1.2773	1.31392	1.49016	1.26899	-0.300262	0.471892	2.36416	0.407137	-1.41494	0.0529173	
-35242311	101	8	REG	0.259362	0.791997	1.26368	0.818889	1.79139	1.22029	-0.148396	0.353247	2.39687	0.672561	-1.30032	0.053009	
-35242310	100	17	REG	0.351918	0.756806	1.26405	1.17017	1.65373	1.22899	-0.27085	0.413644	2.37922	0.440889	-1.41514	0.0864909	
-35242304	4	12	REG	0.441678	0.661005	1.29626	1.46135	1.31488	1.32294	-0.310336	0.477007	2.36788	0.359292	-1.48278	-0.0190601	
-35242301	1	27	REG	0.374557	0.719807	1.2755	1.21485	1.51847	1.26892	-0.250676	0.440211	2.3718	0.418023	-1.41288	0.0440019	
-35242300	0	84	REG	0.413103	0.690247	1.28548	1.36081	1.39657	1.29973	-0.291307	0.491841	2.36224	0.323878	-1.44223	0.0477283	
-35242244	404	5	REG	0.448474	0.646579	1.30406	1.48859	1.29675	1.34305	-0.318139	0.469211	2.372	0.556059	-1.40652	-0.121183	
-35242242	402	5	REG	0.370368	0.73398	1.26499	1.207	1.56392	1.24652	-0.254554	0.430536	2.36737	0.438196	-1.45231	0.0532841	
-35242241	401	10	REG	0.329584	0.789165	1.26179	1.03571	1.76684	1.21824	-0.1819	0.370027	2.39184	0.60149	-1.39668	0.0507211	
-35242240	400	42	REG	0.427357	0.674172	1.29365	1.40701	1.37026	1.31588	-0.308587	0.479722	2.36375	0.458214	-1.4317	-0.0198265	
-35242231	301	4	REG	0.331323	0.745404	1.27917	1.11639	1.59604	1.25967	-0.253749	0.443443	2.38973	0.660052	-1.31487	-0.0451945	
-35242230	300	16	REG	0.377397	0.707731	1.28949	1.25369	1.44211	1.29827	-0.277804	0.484196	2.36505	0.557943	-1.38765	-0.0141431	
-35242224	204	3	REG	0.462547	0.661	1.28783	1.53943	1.23541	1.33439	-0.325934	0.562717	2.3383	0.558784	-1.40786	-0.0595103	
