HBOND	omega	27	2.39983	-0.67611	0.304204	0.207552
HBOND	omega	28	2.48709	-0.991501	-0.450032	-0.667224
HBOND	omega	29	2.57436	-1.31551	-1.25908	-1.42937
HBOND	omega	30	2.66163	-1.60541	-1.84753	-1.93053
HBOND	omega	31	2.74889	-1.7771	-2.14061	-2.10076
HBOND	omega	32	2.83616	-1.69466	-2.03447	-1.86091
HBOND	omega	33	2.92343	-1.36618	-1.51466	-1.40854
HBOND	omega	34	3.01069	-0.759144	-0.621446	-0.762612
HBOND	omega	35	3.09796	0.411779	0.804382	0.423158
HBOND	tau	0	-3.09796	-0.0975472843404863	1.49601796200255	0.593519076994198
HBOND	tau	1	-3.01069	-0.184542004920067	1.16992172437537	0.572072611510522
HBOND	tau	2	-2.92343	-0.282133777997402	0.817427862697269	0.544198066108141
HBOND	tau	3	-2.83616	-0.389445192107956	0.425239052466836	0.500784897723114
HBOND	tau	4	-2.74889	-0.520803044385339	-0.0102305284295646	0.438082963681661
HBOND	tau	5	-2.66163	-0.67676290157128	-0.484361587788539	0.367737157082331
HBOND	tau	6	-2.57436	-0.849841344785196	-0.984074196002231	0.30497688636769
HBOND	tau	7	-2.48709	-1.01613004504304	-1.46629529287142	0.262989949508739
HBOND	tau	8	-2.39983	-1.13628631309273	-1.87513177420829	0.24728281066019
HBOND	tau	9	-2.31256	-1.18063288712621	-2.16555656587992	0.258947908232801
HBOND	tau	10	-2.22529	-1.12969272193408	-2.30032495541672	0.296873098578157
HBOND	tau	11	-2.13803	-0.995985809799907	-2.26346652271563	0.355205986093334
HBOND	tau	12	-2.05076	-0.814917409185099	-2.06018280760996	0.430458509900723
HBOND	tau	13	-1.9635	-0.61837708008083	-1.72417196938631	0.513100370298925
HBOND	tau	14	-1.87623	-0.4325041852321	-1.29663868889418	0.589323458752824
HBOND	tau	15	-1.78896	-0.269725125981145	-0.82164084311348	0.639897839957025
HBOND	tau	16	-1.7017	-0.13987240460571	-0.336332586414631	0.660225911123228
HBOND	tau	17	-1.61443	-0.0452343113426066	0.127218617440198	0.647884253802429
HBOND	tau	18	-1.52716	0.0158558733195293	0.541227409428921	0.601728950315518
