0-0-0-0-9-1-2-9	1	
0-0-0-1-3-1-0-8	3	
0-0-0-1-8-1-2-7	1	
0-0-0-2-4-1-2-9	2	
0-0-0-2-6-1-3-8	1	
0-0-0-2-8-1-2-3	1	
0-0-0-2-9-1-0-8	1	
0-0-0-2-9-1-1-8	1	
0-0-0-3-8-1-1-9	1	
0-0-0-3-8-1-2-8	1	
0-0-0-3-9-1-1-9	1	
0-0-1-0-0-1-0-8	1	
0-0-1-0-0-1-0-9	2	
0-0-1-0-0-1-1-4	1	
0-0-1-0-0-1-1-5	1	
0-0-1-0-0-1-1-8	2	
0-0-1-0-0-1-1-9	1	
0-0-1-0-0-1-2-3	1	
0-0-1-0-0-1-2-5	1	
0-0-1-0-0-1-2-8	2	
0-0-1-0-0-1-2-9	1	
0-0-1-0-0-1-3-4	3	
0-0-1-0-0-1-3-8	1	
0-0-1-0-0-1-3-9	1	
0-0-1-0-0-1-6-6	1	
0-0-1-0-1-1-2-7	1	
0-0-1-0-2-1-0-1	1	
0-0-1-0-3-1-2-8	1	
0-0-1-0-4-1-0-0	1	
0-0-1-0-4-1-1-9	1	
0-0-1-0-5-1-1-9	1	
0-0-1-0-6-1-1-9	1	
0-0-1-0-6-1-2-4	1	
0-0-1-0-6-1-2-8	1	
0-0-1-0-6-1-3-8	1	
0-0-1-0-7-1-3-8	1	
0-0-1-0-7-1-6-5	1	
0-0-1-0-8-1-0-9	3	
0-0-1-0-8-1-1-7	2	
0-0-1-0-8-1-1-8	13	
0-0-1-0-8-1-1-9	1	
0-0-1-0-8-1-2-2	1	
0-0-1-0-8-1-2-5	1	
0-0-1-0-8-1-2-6	1	
0-0-1-0-8-1-2-7	3	
0-0-1-0-8-1-2-8	6	
0-0-1-0-8-1-3-3	2	
0-0-1-0-8-1-3-4	8	
0-0-1-0-8-1-3-8	2	
0-0-1-0-8-1-3-9	2	
0-0-1-0-8-1-6-5	1	
0-0-1-0-8-1-7-5	1	
0-0-1-0-9-1-0-0	1	
0-0-1-0-9-1-0-6	1	
0-0-1-0-9-1-0-8	9	
0-0-1-0-9-1-0-9	23	
0-0-1-0-9-1-1-5	2	
0-0-1-0-9-1-1-7	4	
0-0-1-0-9-1-1-8	44	
0-0-1-0-9-1-1-9	30	
0-0-1-0-9-1-2-3	1	
0-0-1-0-9-1-2-4	2	
0-0-1-0-9-1-2-5	2	
0-0-1-0-9-1-2-7	2	
0-0-1-0-9-1-2-8	18	
0-0-1-0-9-1-2-9	16	
0-0-1-0-9-1-3-3	5	
0-0-1-0-9-1-3-4	7	
0-0-1-0-9-1-3-8	7	
0-0-1-0-9-1-3-9	2	
0-0-1-0-9-1-6-0	1	
0-0-1-0-9-1-6-1	2	
0-0-1-0-9-1-6-6	1	
0-0-1-0-9-1-6-9	1	
0-0-1-0-9-1-7-3	1	
0-0-1-0-9-1-7-4	1	
0-0-1-0-9-1-8-9	1	
0-0-1-0-9-1-9-0	1	
0-0-1-1-0-1-0-0	1	
0-0-1-1-0-1-0-8	1	
0-0-1-1-0-1-0-9	1	
0-0-1-1-0-1-1-9	2	
0-0-1-1-0-1-3-3	3	
0-0-1-1-0-1-3-4	5	
0-0-1-1-1-1-2-7	1	
0-0-1-1-1-1-7-4	1	
0-0-1-1-2-1-2-8	3	
0-0-1-1-3-1-2-8	1	
0-0-1-1-3-1-2-9	1	
0-0-1-1-4-1-0-8	1	
0-0-1-1-4-1-1-8	3	
0-0-1-1-4-1-1-9	4	
0-0-1-1-4-1-2-3	1	
0-0-1-1-4-1-2-4	1	
0-0-1-1-4-1-2-8	1	
0-0-1-1-4-1-2-9	1	
0-0-1-1-4-1-6-1	1	
0-0-1-1-4-1-6-6	1	
0-0-1-1-4-1-7-4	1	
0-0-1-1-4-1-9-0	1	
0-0-1-1-5-1-0-0	1	
0-0-1-1-5-1-0-9	1	
0-0-1-1-5-1-1-2	1	
0-0-1-1-5-1-1-3	1	
0-0-1-1-5-1-1-4	1	
0-0-1-1-5-1-1-6	1	
0-0-1-1-5-1-1-7	2	
0-0-1-1-5-1-1-8	3	
0-0-1-1-5-1-1-9	1	
0-0-1-1-5-1-2-0	1	
0-0-1-1-5-1-2-3	1	
0-0-1-1-5-1-2-4	3	
0-0-1-1-5-1-2-8	5	
0-0-1-1-5-1-2-9	4	
0-0-1-1-5-1-3-3	4	
0-0-1-1-5-1-3-4	2	
