4FRAG_SS_MAP	0	1	0.867513	1.59685	1.59687	A	alpha	49.7048	91.4928	91.4937	0.0471197	0.950089	0.00262719	0.000163834	170905	
4FRAG_NUMBER_MAP	-392224	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392223	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392222	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392221	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392220	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392219	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392218	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392217	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392216	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392215	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392214	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392213	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392212	19	T	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392211	19	T	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392210	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392125	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392124	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392123	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392122	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392121	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392120	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392119	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392118	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392117	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392116	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392115	22	W	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392114	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392113	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392112	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392111	18	S	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392110	19	T	beta	nan	nan	nan	nan	0	
4FRAG_NUMBER_MAP	-392025	22	W	beta	nan	nan	nan	nan	0	
