#phi_psi_bias_correction: Mon Feb 16 13:55:56 2009	#forbidden_phi_psi: Mon Sep 14 18:17:59 2009
#	#
PPBC	75	4.10102	99	-117	1	18.1	90	-126	15	3	75	
PPBC	76	5.42147	117	-117	1	5.1	108	-126	16	3	76	
PPBC	77	4.73817	135	-117	1	8.1	126	-126	17	3	77	
PPBC	78	5.09061	153	-117	1	6.1	144	-126	18	3	78	
PPBC	79	4.95884	171	-117	1	8.1	162	-126	19	3	79	
PPBC	80	5.42147	-171	-99	1	4.1	-180	-108	0	4	80	
PPBC	81	4.21163	-153	-99	1	16.1	-162	-108	1	4	81	
PPBC	82	3.11692	-135	-99	0	49.1	-144	-108	2	4	82	
PPBC	83	2.63066	-117	-99	0	82.1	-126	-108	3	4	83	
PPBC	84	2.84452	-99	-99	0	69.1	-108	-108	4	4	84	
PPBC	85	4.10102	-81	-99	1	18.1	-90	-108	5	4	85	
PPBC	86	5.63972	-63	-99	1	2.1	-72	-108	6	4	86	
PPBC	87	9.35329	-45	-99	1	0.1	-54	-108	7	4	87	
PPBC	88	9.35329	-27	-99	1	1.1	-36	-108	8	4	88	
PPBC	89	9.35329	-9	-99	1	0.1	-18	-108	9	4	89	
PPBC	90	6.9554	9	-99	1	1.1	0	-108	10	4	90	
PPBC	91	6.9554	27	-99	1	1.1	18	-108	11	4	91	
PPBC	92	4.84243	45	-99	1	9.1	36	-108	12	4	92	
PPBC	93	4.27189	63	-99	1	17.1	54	-108	13	4	93	
PPBC	94	5.09061	81	-99	1	8.1	72	-108	14	4	94	
PPBC	95	4.40453	99	-99	1	14.1	90	-108	15	4	95	
PPBC	96	5.24242	117	-99	1	5.1	108	-108	16	4	96	
PPBC	97	5.9193	135	-99	1	3.1	126	-108	17	4	97	
PPBC	98	6.30877	153	-99	1	1.1	144	-108	18	4	98	
PPBC	99	6.9554	171	-99	1	1.1	162	-108	19	4	99	
PPBC	100	5.63972	-171	-81	1	4.1	-180	-90	0	5	100	
PPBC	101	4.33601	-153	-81	1	14.1	-162	-90	1	5	101	
PPBC	102	2.84452	-135	-81	0	69.1	-144	-90	2	5	102	
PPBC	103	2.25409	-117	-81	0	122.1	-126	-90	3	5	103	
PPBC	104	2.28768	-99	-81	0	115.1	-108	-90	4	5	104	
PPBC	105	2.9547	-81	-81	0	58.1	-90	-90	5	5	105	
PPBC	106	4.84243	-63	-81	1	7.1	-72	-90	6	5	106	
PPBC	107	5.42147	-45	-81	1	5.1	-54	-90	7	5	107	
PPBC	108	5.9193	-27	-81	1	3.1	-36	-90	8	5	108	
PPBC	109	5.63972	-9	-81	1	4.1	-18	-90	9	5	109	
PPBC	110	9.35329	9	-81	1	0.1	0	-90	10	5	110	
PPBC	111	9.35329	27	-81	1	0.1	18	-90	11	5	111	
PPBC	112	9.35329	45	-81	1	0.1	36	-90	12	5	112	
PPBC	113	4.84243	63	-81	1	9.1	54	-90	13	5	113	
PPBC	114	3.91087	81	-81	0	24.1	72	-90	14	5	114	
PPBC	115	5.42147	99	-81	1	5.1	90	-90	15	5	115	
PPBC	116	5.42147	117	-81	1	4.1	108	-90	16	5	116	
PPBC	117	5.9193	135	-81	1	3.1	126	-90	17	5	117	
PPBC	118	9.35329	153	-81	1	0.1	144	-90	18	5	118	
PPBC	119	6.30877	171	-81	1	2.1	162	-90	19	5	119	
PPBC	120	5.9193	-171	-63	1	3.1	-180	-72	0	6	120	
PPBC	121	3.58185	-153	-63	0	33.1	-162	-72	1	6	121	
PPBC	122	2.19789	-135	-63	0	132.1	-144	-72	2	6	122	
PPBC	123	1.17831	-117	-63	0	356.1	-126	-72	3	6	123	
PPBC	124	1.05649	-99	-63	0	402.1	-108	-72	4	6	124	
PPBC	125	0.921438	-81	-63	0	456.1	-90	-72	5	6	125	
PPBC	126	-0.235555	-63	-63	0	1463.1	-72	-72	6	6	126	
PPBC	127	0.526996	-45	-63	0	683.1	-54	-72	7	6	127	
PPBC	128	3.28718	-27	-63	0	44.1	-36	-72	8	6	128	
PPBC	129	9.35329	-9	-63	1	0.1	-18	-72	9	6	129	
PPBC	130	9.35329	9	-63	1	0.1	0	-72	10	6	130	
PPBC	131	9.35329	27	-63	1	3.1	18	-72	11	6	131	
PPBC	132	9.35329	45	-63	1	2.1	36	-72	12	6	132	
PPBC	133	3.21989	63	-63	0	45.1	54	-72	13	6	133	
PPBC	134	2.77265	81	-63	0	72.1	72	-72	14	6	134	
PPBC	135	4.84243	99	-63	1	9.1	90	-72	15	6	135	
PPBC	136	5.9193	117	-63	1	3.1	108	-72	16	6	136	
PPBC	137	5.24242	135	-63	1	6.1	126	-72	17	6	137	
PPBC	138	4.95884	153	-63	1	8.1	144	-72	18	6	138	
PPBC	139	5.63972	171	-63	1	4.1	162	-72	19	6	139	
PPBC	140	5.24242	-171	-45	1	7.1	-180	-54	0	7	140	
PPBC	141	4.33601	-153	-45	1	16.1	-162	-54	1	7	141	
PPBC	142	1.89108	-135	-45	0	176.1	-144	-54	2	7	142	
PPBC	143	0.492366	-117	-45	0	717.1	-126	-54	3	7	143	
PPBC	144	-0.342619	-99	-45	0	1639.1	-108	-54	4	7	144	
PPBC	145	-1.74761	-81	-45	0	6673.1	-90	-54	5	7	145	
PPBC	146	-4.54331	-63	-45	0	109533	-72	-54	6	7	146	
PPBC	147	-1.7213	-45	-45	0	6494.1	-54	-54	7	7	147	
PPBC	148	5.09061	-27	-45	1	8.1	-36	-54	8	7	148	
PPBC	149	6.9554	-9	-45	1	1.1	-18	-54	9	7	149	
PPBC	150	9.35329	9	-45	1	5.1	0	-54	10	7	150	
PPBC	151	9.35329	27	-45	0	25.1	18	-54	11	7	151	
PPBC	152	9.35329	45	-45	1	2.1	36	-54	12	7	152	
PPBC	153	2.9547	63	-45	0	60.1	54	-54	13	7	153	
PPBC	154	2.98854	81	-45	0	60.1	72	-54	14	7	154	
PPBC	155	4.27189	99	-45	1	16.1	90	-54	15	7	155	
PPBC	156	5.09061	117	-45	1	8.1	108	-54	16	7	156	
PPBC	157	4.33601	135	-45	1	14.1	126	-54	17	7	157	
PPBC	158	5.42147	153	-45	1	6.1	144	-54	18	7	158	
PPBC	159	5.9193	171	-45	1	4.1	162	-54	19	7	159	
PPBC	160	6.30877	-171	-27	1	2.1	-180	-36	0	8	160	
PPBC	161	3.4925	-153	-27	0	37.1	-162	-36	1	8	161	
PPBC	162	1.47438	-135	-27	0	267.1	-144	-36	2	8	162	
