#forbidden_phi_psi: Mon Sep 14 18:17:59 2009
#
99	-81	1	5.1	90	-90	15	5	115	
117	-81	1	4.1	108	-90	16	5	116	
135	-81	1	3.1	126	-90	17	5	117	
153	-81	1	0.1	144	-90	18	5	118	
171	-81	1	2.1	162	-90	19	5	119	
-171	-63	1	3.1	-180	-72	0	6	120	
-153	-63	0	33.1	-162	-72	1	6	121	
-135	-63	0	132.1	-144	-72	2	6	122	
-117	-63	0	356.1	-126	-72	3	6	123	
-99	-63	0	402.1	-108	-72	4	6	124	
-81	-63	0	456.1	-90	-72	5	6	125	
-63	-63	0	1463.1	-72	-72	6	6	126	
-45	-63	0	683.1	-54	-72	7	6	127	
-27	-63	0	44.1	-36	-72	8	6	128	
-9	-63	1	0.1	-18	-72	9	6	129	
9	-63	1	0.1	0	-72	10	6	130	
27	-63	1	3.1	18	-72	11	6	131	
45	-63	1	2.1	36	-72	12	6	132	
63	-63	0	45.1	54	-72	13	6	133	
81	-63	0	72.1	72	-72	14	6	134	
99	-63	1	9.1	90	-72	15	6	135	
117	-63	1	3.1	108	-72	16	6	136	
135	-63	1	6.1	126	-72	17	6	137	
153	-63	1	8.1	144	-72	18	6	138	
171	-63	1	4.1	162	-72	19	6	139	
-171	-45	1	7.1	-180	-54	0	7	140	
-153	-45	1	16.1	-162	-54	1	7	141	
-135	-45	0	176.1	-144	-54	2	7	142	
-117	-45	0	717.1	-126	-54	3	7	143	
-99	-45	0	1639.1	-108	-54	4	7	144	
-81	-45	0	6673.1	-90	-54	5	7	145	
-63	-45	0	109533	-72	-54	6	7	146	
-45	-45	0	6494.1	-54	-54	7	7	147	
-27	-45	1	8.1	-36	-54	8	7	148	
-9	-45	1	1.1	-18	-54	9	7	149	
9	-45	1	5.1	0	-54	10	7	150	
27	-45	0	25.1	18	-54	11	7	151	
45	-45	1	2.1	36	-54	12	7	152	
63	-45	0	60.1	54	-54	13	7	153	
81	-45	0	60.1	72	-54	14	7	154	
99	-45	1	16.1	90	-54	15	7	155	
117	-45	1	8.1	108	-54	16	7	156	
135	-45	1	14.1	126	-54	17	7	157	
153	-45	1	6.1	144	-54	18	7	158	
171	-45	1	4.1	162	-54	19	7	159	
-171	-27	1	2.1	-180	-36	0	8	160	
-153	-27	0	37.1	-162	-36	1	8	161	
-135	-27	0	267.1	-144	-36	2	8	162	
-117	-27	0	1264.1	-126	-36	3	8	163	
-99	-27	0	2794.1	-108	-36	4	8	164	
-81	-27	0	9387.1	-90	-36	5	8	165	
-63	-27	0	37328.1	-72	-36	6	8	166	
-45	-27	0	1408.1	-54	-36	7	8	167	
-27	-27	1	5.1	-36	-36	8	8	168	
-9	-27	1	2.1	-18	-36	9	8	169	
9	-27	1	5.1	0	-36	10	8	170	
27	-27	1	4.1	18	-36	11	8	171	
45	-27	1	0.1	36	-36	12	8	172	
63	-27	0	24.1	54	-36	13	8	173	
81	-27	0	80.1	72	-36	14	8	174	
99	-27	0	356.1	90	-36	15	8	175	
117	-27	0	155.1	108	-36	16	8	176	
135	-27	0	31.1	126	-36	17	8	177	
153	-27	1	10.1	144	-36	18	8	178	
171	-27	1	5.1	162	-36	19	8	179	
-171	-9	1	8.1	-180	-18	0	9	180	
-153	-9	0	44.1	-162	-18	1	9	181	
-135	-9	0	524.1	-144	-18	2	9	182	
-117	-9	0	2413.1	-126	-18	3	9	183	
-99	-9	0	5477.1	-108	-18	4	9	184	
-81	-9	0	10820.1	-90	-18	5	9	185	
-63	-9	0	6336.1	-72	-18	6	9	186	
-45	-9	1	11.1	-54	-18	7	9	187	
-27	-9	1	1.1	-36	-18	8	9	188	
-9	-9	1	4.1	-18	-18	9	9	189	
9	-9	1	4.1	0	-18	10	9	190	
27	-9	1	3.1	18	-18	11	9	191	
45	-9	1	0.1	36	-18	12	9	192	
63	-9	0	63.1	54	-18	13	9	193	
81	-9	0	1449.1	72	-18	14	9	194	
99	-9	0	1420.1	90	-18	15	9	195	
117	-9	0	259.1	108	-18	16	9	196	
135	-9	0	67.1	126	-18	17	9	197	
153	-9	1	14.1	144	-18	18	9	198	
171	-9	1	3.1	162	-18	19	9	199	
-171	9	1	6.1	-180	0	0	10	200	
-153	9	0	90.1	-162	0	1	10	201	
-135	9	0	729.1	-144	0	2	10	202	
-117	9	0	3112.1	-126	0	3	10	203	
-99	9	0	6776.1	-108	0	4	10	204	
-81	9	0	2903.1	-90	0	5	10	205	
-63	9	0	93.1	-72	0	6	10	206	
-45	9	1	5.1	-54	0	7	10	207	
-27	9	1	1.1	-36	0	8	10	208	
-9	9	1	0.1	-18	0	9	10	209	
9	9	1	2.1	0	0	10	10	210	
27	9	1	2.1	18	0	11	10	211	
45	9	1	6.1	36	0	12	10	212	
63	9	0	1080.1	54	0	13	10	213	
81	9	0	2823.1	72	0	14	10	214	
99	9	0	958.1	90	0	15	10	215	
117	9	0	197.1	108	0	16	10	216	
135	9	0	23.1	126	0	17	10	217	
153	9	1	2.1	144	0	18	10	218	
171	9	1	3.1	162	0	19	10	219	
-171	27	1	6.1	-180	18	0	11	220	
-153	27	0	97.1	-162	18	1	11	221	
-135	27	0	771.1	-144	18	2	11	222	
-117	27	0	1914.1	-126	18	3	11	223	
-99	27	0	1337.1	-108	18	4	11	224	
-81	27	0	201.1	-90	18	5	11	225	
-63	27	0	38.1	-72	18	6	11	226	
-45	27	1	1.1	-54	18	7	11	227	
-27	27	1	0.1	-36	18	8	11	228	
-9	27	1	3.1	-18	18	9	11	229	
9	27	1	0.1	0	18	10	11	230	
27	27	1	1.1	18	18	11	11	231	
45	27	0	289.1	36	18	12	11	232	
63	27	0	3033.1	54	18	13	11	233	
81	27	0	1098.1	72	18	14	11	234	
99	27	0	132.1	90	18	15	11	235	
117	27	0	52.1	108	18	16	11	236	
135	27	1	9.1	126	18	17	11	237	
153	27	1	1.1	144	18	18	11	238	
171	27	1	3.1	162	18	19	11	239	
-171	45	1	9.1	-180	36	0	12	240	
-153	45	0	129.1	-162	36	1	12	241	
-135	45	0	472.1	-144	36	2	12	242	
-117	45	0	426.1	-126	36	3	12	243	
-99	45	0	217.1	-108	36	4	12	244	
-81	45	0	260.1	-90	36	5	12	245	
-63	45	0	29.1	-72	36	6	12	246	
-45	45	1	0.1	-54	36	7	12	247	
-27	45	1	0.1	-36	36	8	12	248	
-9	45	1	0.1	-18	36	9	12	249	
9	45	1	0.1	0	36	10	12	250	
27	45	1	9.1	18	36	11	12	251	
45	45	0	1877.1	36	36	12	12	252	
63	45	0	2000.1	54	36	13	12	253	
81	45	0	119.1	72	36	14	12	254	
99	45	0	27.1	90	36	15	12	255	
117	45	1	9.1	108	36	16	12	256	
135	45	1	6.1	126	36	17	12	257	
153	45	1	0.1	144	36	18	12	258	
171	45	1	2.1	162	36	19	12	259	
-171	63	0	22.1	-180	54	0	13	260	
-153	63	0	262.1	-162	54	1	13	261	
-135	63	0	791.1	-144	54	2	13	262	
-117	63	0	229.1	-126	54	3	13	263	
-99	63	0	316.1	-108	54	4	13	264	
-81	63	0	1171.1	-90	54	5	13	265	
-63	63	1	21.1	-72	54	6	13	266	
-45	63	1	0.1	-54	54	7	13	267	
-27	63	1	0.1	-36	54	8	13	268	
-9	63	1	0.1	-18	54	9	13	269	
9	63	1	1.1	0	54	10	13	270	
27	63	0	43.1	18	54	11	13	271	
45	63	0	632.1	36	54	12	13	272	
63	63	0	349.1	54	54	13	13	273	
81	63	0	29.1	72	54	14	13	274	
99	63	1	11.1	90	54	15	13	275	
117	63	1	1.1	108	54	16	13	276	
135	63	1	2.1	126	54	17	13	277	
153	63	1	2.1	144	54	18	13	278	
171	63	1	5.1	162	54	19	13	279	
